2026-06-17 14:18:40,920 | INFO     | company-ai.ai | pid=52121 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=616 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 14:21:20,384 | INFO     | company-ai.ai | pid=52364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=892 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 14:22:08,168 | INFO     | company-ai.ai | pid=52364 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=315 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 14:25:28,948 | INFO     | company-ai.ai | pid=52600 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=557 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 14:32:01,861 | INFO     | company-ai.ai | pid=52600 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=389 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 14:32:45,839 | INFO     | company-ai.ai | pid=53966 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=1275 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 14:45:03,030 | INFO     | company-ai.ai | pid=54211 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=456887 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:14:11,719 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=835 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:14:24,278 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' meta_op='AND' results=10 latency_ms=273 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:29:43,933 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=299 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:30:05,335 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=286 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:31:50,017 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=312 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:32:31,210 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=265 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:33:32,748 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=269 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:33:55,307 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=295 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:34:05,005 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=273 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-18 06:34:17,969 | INFO     | company-ai.ai | pid=1986 | KB retrieve | depts='legal' meta_filters='city' meta_op='AND' results=0 latency_ms=288 search_type='SEMANTIC' store='s3' rerank='passthrough'
